名前,属性,コスト,タグ,テキスト,枚数
共同調査,Law,0,基本・調査・追加,"「死因」「動機」「アリバイ」「関係性」「所持品」「ロール」のうち一枚を「調査」する。
任意のプレイヤー１名を選び、そのプレイヤーはあなたと同じカードを対象に「調査」する。
その後、以下から効果を選んで使用する。
・任意のプレイヤー１名を選び、不信感+1
・任意のプレイヤー１名を選び、不信感-1",7
現場検証,Law,0,基本・調査・追加,"「死因」「伏線」「アリバイ」「所持品」のうち一枚を「調査」する。
任意のプレイヤー１名を選び、そのプレイヤーはあなたと同じカードを対象に「調査」する。
その後、以下から効果を選んで使用する。
・基本ページ山札もしくはページ山札から1枚引く。
・所持品山札の上から１枚を自分の場に非公開追加する。",7
突飛なアイディア,Law,0,基本・調査・追加,"「動機」「伏線」「関係性」「ロール」「イベント」のうち一枚を「調査」する。
任意のプレイヤー１名を選び、そのプレイヤーはあなたと同じカードを対象に「調査」する。
その後、以下から効果を選んで使用する。
・基本ページ山札もしくはページ山札から1枚引く。
・手札から伏線カード１枚を配置する
・場の伏線カード１枚を選択して破棄する。",7
ロジカルシンキング,Law,2,変更,"「死因」「動機」「アリバイ」「関係性」「所持品」「ロール」のうち一枚を公開する。
任意のプレイヤー１名を選び、そのプレイヤーの手札を確認する。
その中から１枚を選択し、破棄する。",4
第六感,Neutral,1,調査・変更,"どんでん返し山札の一番上のカードを確認する。
その後、以下から効果を選んで使用する。
・そのカードをどんでん返し山札の上に戻す。
・そのカードをどんでん返し山札の下に戻し、あらためて一番上のカードを確認し、上に戻す。",2
犯人思考,Chaos,2,調査,"「死因」「動機」を全て「調査」する。
基本ページ山札もしくはページ山札から1枚引く。",3
偽装工作,Chaos,2,変更,"小説ボード上の死因・犯行現場・動機カードのうち、１枚を同種山札に戻す。
その後、同種山札の中から１枚を選び、非公開で小説ボードに配置する。",6
すり替え,Chaos,1,変更,"基本ページ山札もしくはページ山札から1枚引く。
小説ボード上のページカード１枚を選び手札に加え、手札のページカード1枚を公開配置する。",3
真実はいつも一つ,Law・Law,2,変更,"小説ボード上の死因・動機カードを全て公開する。
(このカードの属性は２枚分としてカウントする)",1
怒れる者たち,Law,1,変更,"配置された死因・動機・アリバイ・関係性・所持品・ロールカードの中から全員で同時に指を指し、
最多票の集まったカードを公開する。
ただし、２番目に票を集めたカードと２票以上の差がない場合は何もしない。",1
白日の下に,Law,0,変更,自分の場のロール・関係性・所持品・アリバイカードから１枚を選び、公開する。,4
覆される証言,Chaos,X,変更,"Xは、現在の章の数と同じものになる。
自分の関係性・アリバイカードから１枚を選ぶ。
同種山札の一番下に戻し、一番上のカードを自分の場に非公開追加する。",4
ポーカーフェイス,Neutral,1,配置,"このカードを使用した場合、このカードは小説ボードではなく
自分の関係性・所持品・アリバイの中で非公開のものを１枚選びその上に配置する。
その後、ページ山札の上のカードを小説ボードに公開配置する。
このカードの下にあるカードは、「調査」の対象にならない。",2
闇堕ち,Chaos,3,変更,"このカードを使用した場合、このカードは自分のロールカードの上に配置する。
ページ山札から5枚引き、所持品山札の上から2枚を自分の場に非公開追加する。
その後、手札のページカードから１枚を選んで小説ボードに公開配置する。（ない場合は置かない）
このカードが一番上にある限り、あなたのキャラクターに「性格：爆発」を追加する。
すでに同じ性格を持っている場合、クライマックスフェイズでは個別に不信感を計算する。
このカードの下にあるロールカードは、犯人サイドになる。",1
ダブルクロス,Chaos,2,配置・変更,"このカードを使用した場合、このカードは小説ボードではなく自分のロールカードの上に配置する。
その後、手札のページカードから１枚を選んで小説ボードに公開配置する。（ない場合は置かない）
このカードの下にあるロールカードは、探偵サイドの場合は犯人サイドになる。
犯人サイドの場合は探偵サイドになる。",2
相棒,Neutral,3,追加,"キャラクター山札の上から１枚を自分の場に公開追加する。
そのキャラクターはあらゆる処理の対象にならない。
自分はゲーム中、そのキャラクターの能力のみを追加で持つものとして扱う。
ゲーム開始時に適用するキャラクター能力があればすべて使用する。",1
隠滅された証拠,Chaos,1,追加・変更,"以下から効果を選んで使用する。
・所持品山札の上から３枚を確認し、その中から１枚選んで自分の場に非公開追加する。
・自身の所持品を１枚選び、破棄する。
ただし、スキルを持つ公開状態の所持品は選べない",3
その推理には穴がある,Chaos,1,変更,場に置かれた「探偵」のカードを自分のロールカードの上に移動する。,1
敵をだますには味方から,Neutral,2,追加,"このカードを任意の向きであなたのロールカードの上に置く。
逆位置で置いた場合、あなたは犯人サイドになる。
正位置で置いた場合、あなたは探偵サイドになり、自分の場の不信感をすべて取り除く
その後、手札のページカードから１枚を選んで小説ボードに公開配置する。（ない場合は置かない）",1
私達、入れ替わってる！？,Neutral,2,変更,"自分と他プレイヤー１人のロール・動機カード・スキルを持つ公開状態の所持品の所有者を入れ替える。
ただし、「ロール：探偵」とは入替えられない。",3
その証言には矛盾がある,Neutral,2,変更・調査,"自分以外の関係性・アリバイカードから１枚を選び、同種山札の下に戻す。
同種山札の上から１枚を対象の場に非公開追加する。
その後、そのカードを「調査」する。",4
説得,Law,0,配置・変更,"このカードを使用した場合、このカードは小説ボードではなく自分以外のロールカードの上に配置する。
その後、手札のページカードから１枚を選んで小説ボードに公開配置する。（ない場合は置かない）
このカードの下にあるロールカードは「探偵サイド」になる。",1
正体を現せ！,Chaos,1,変更,"場の任意のキャラクターカードから１枚を選び、キャラクター山札の下に戻す。
この処理は「そのキャラクターはあらゆる処理の対象にならない。」を無視する。
その後、キャラクター山札の上から１枚を対象の場に公開追加する。",2
お前がやったんだろ！,Chaos,1,追加・変更,任意のプレイヤーに自分の不信感を3つまで渡す。,3
感情的な行動,Neutral,2,変更,"任意のプレイヤーの場に置かれたキャラクター・アリバイ・関係性以外のカードを１枚選び公開し、
スキルを持たない場合は破棄する。",2
反論,Neutral,1,変更,任意のプレイヤーの不信感-4,2
ゴシップ記者とのコネ,Chaos,2,追加,任意のプレイヤーを選ぶ。関係性山札の上から１枚を対象プレイヤーの場に公開追加する。,2
盗み聞き,Chaos,1,伏線,"他プレイヤーが「追加」か「調査」タグを持つページカードの効果を処理しようとしたとき、
配置されたこのカードを公開して使用できる。
対象の効果を、自分が使用したものとして処理する。",3
ポイ捨て,Neutral,0,伏線・追加・変更,"他プレイヤーが調査以外の基本動作を行ったとき、配置されたこのカードを公開して使用できる。
その処理を無効化し、あなたはページ山札から2枚引く。
その後、小説ボード上のページカード１枚を選び手札に加え、手札のページカード1枚を公開配置する。",2
対抗策,Law,0,伏線,"他プレイヤーがEvent以外のChaos属性を持つページカードの効果を処理しようとしたとき、配置されたこの
カードを公開して使用できる。
対象の効果を無効化し、裏向きにして小説ボードに送る。",1
致命的な勘違い,Law,0,伏線,"他プレイヤーが「変更」か「伏線」タグを持つページカードの効果を処理しようとしたとき、配置されたこの
カードを公開して使用できる。
対象の効果を無効化し、カードを使用したプレイヤーの未使用ページカードを1枚無作為に破棄する。",2
トリック・リサイクル,Law,0,伏線,"他プレイヤーがEvent以外のページカードの効果を処理しようとしたとき、配置されたこのカードを
公開して使用できる。
対象の効果を、自分が使用したものとして処理する。",2
口先の魔術,Chaos,0,伏線・追加,"他のプレイヤーがあなたの不信感を増加させたとき、配置されたこのカードを公開して使用できる。
あなたの不信感カウンターがなくなるまで、時計回りに１つずつ他のプレイヤーに分配する。",1
被害者の遺書,Neutral,0,Event,"条件：章の開始時、任意
処理：全プレイヤーの不信感は0になる。",1
ダイイングメッセージ,Neutral,0,Event,"条件：章の開始時
処理：全プレイヤーで勝ち抜けでじゃんけんを繰り返し、一人負けとなったプレイヤーを対象とする。
対象のプレイヤーは不信感+4",1
血の無罪証明,Chaos,0,Event,"条件：章の開始時、あなたの不信感が１以上であり全プレイヤーの中で最も高い状態
処理：あなたは自分のキャラクターを被害者に追加し、犯行現場山札の上から１枚を公開追加する。
その後、死因山札の上から１枚を非公開追加する。
その後、ロールと伏線以外の自分の場・手札・不信感を全て破棄し、
ロールは据え置きのままで「登場人物の設定を決定」処理を行う。（伏線は残る）
ゲーム開始時に適用するキャラクター能力があれば使用する。",1
電話線の切断,Chaos,0,Event,"条件：章の開始時、自分より不信感が3以上多いプレイヤーが存在する
処理：この章で追加される不信感カウンターは通常の倍になる",1
こんな場所にいられるか,Chaos,0,Event,"条件：章の開始時、自分より不信感が2以上多いプレイヤーが存在する
処理：特に何もしない。よくあるよねこういうの",1
人格シャッフル,Chaos,0,Event,"条件：章の開始時、動機・関係性カードが１枚以上公開されている
処理：すべてのプレイヤーは、自分が持つロール・動機カード・スキルを持つ公開状態の所持品を
左隣のプレイヤーに渡す。",1
二つ目の致命傷,Chaos,0,Event,"条件：章の開始時、死因・所持品カードが合計3枚以上公開されている
処理：死因山札の上から１枚を死因に公開追加する。",1
死亡推定時刻偽装,Chaos,0,Event,"条件：章の開始時、アリバイカードが合計1枚以上公開されている
処理：すべてのプレイヤーは、自分が持つアリバイカードを左隣のプレイヤーに渡す。",1
犯人はこの中にいる,Law,0,Event,"条件：章の開始時、小説ボード上にあるカードの属性を確認し、Chaos属性が一番多い
処理：第4章の後、クライマックスフェイズの前に追加の章をプレイする",1
大パニック,Chaos,0,Event,"条件：章の開始時、小説ボード上にあるカードの属性を確認し、LawとChaosの合計が一致する
処理：この章で伏線以外のページカードを使用する際、ページ山札の上からカードを発動する",1
死亡フラグ,Chaos,0,Event,"条件：章の開始時、小説ボード上にあるカードの属性を確認し、Law属性が一番多い
処理：あなたは自分のキャラクターを被害者に追加し、犯行現場山札の上から１枚を公開追加する。
その後、死因山札の上から１枚を非公開追加する。
その後、伏線以外の自分の場・手札・不信感のカードを全て破棄し、
「登場人物の設定を決定」処理を行う。
ゲーム開始時に適用するキャラクター能力があれば使用する。",1